,Title,Release Year,Runtime,Gross Worldwide Boxoffice
411,The Conversation,1974,113,4858263
412,The Breakfast Club,1985,97,51525171
413,Midnight Cowboy,1969,113,44802577
414,Glory,1990,122,26979166
415,The African Queen,1952,105,46305
416,The Remains of the Day,1993,134,23240144
417,Edge of Tomorrow,2014,113,377044245
418,Hero,2004,120,177395557
419,The Notebook,2004,123,118546960
420,Once,2007,86,20939022
421,The Bourne Identity,2002,119,214034224
422,The Wrestler,2009,109,44734660
423,Bride of Frankenstein,1935,75,11533
424,The Quiet Man,1952,129,Data not available
425,The Killer,1990,111,2340425
426,The Chaser,2008,125,36496231
427,Nine Queens,2000,114,12413888
428,"4 Months, 3 Weeks and 2 Days",2007,113,10174839
429,Key Largo,1948,100,9524420
430,Toy Story 2,1999,92,497375381
431,Hard Boiled,1992,128,785
432,Cowboy Bebop: The Movie,2003,115,3016085
433,The Outlaw Josey Wales,1976,135,31800000
434,How to Train Your Dragon 2,2014,102,621537519
435,Bonnie and Clyde,1967,111,1475
436,The Killing Fields,1985,141,34700291
437,Ninja Scroll,1993,94,1073
438,A Prophet,2010,155,17874044
439,Children of Men,2007,109,70596471
440,The Man Who Would Be King,1975,129,12678
441,All About My Mother,2000,101,67957990
442,Badlands,1974,94,54396
443,Stagecoach,1939,96,Data not available
444,Ed Wood,1994,127,5888045
445,Breaking the Waves,1996,159,3831182
446,Do the Right Thing,1989,120,37295445
447,The Insider,1999,157,60289912
448,The Fall,2008,117,3981117
449,The Right Stuff,1984,193,21192315
450,Iron Man,2008,126,585796247
451,Carlito's Way,1993,144,63848322
452,"Crouching Tiger, Hidden Dragon",2001,120,213978518
453,The Fault in Our Stars,2014,126,307168169
454,The Chorus,2004,97,88385944
455,Big Hero 6,2014,102,657870525
456,The Double Life of Véronique,1991,98,2175939
457,G.O.R.A.,2017,127,20839049
458,Mr. Nobody,2013,141,3567573
459,The Past,2013,130,12673462
460,Walk the Line,2005,136,186797986
461,The Boondock Saints,2000,108,30471
462,Lilya 4-Ever,2002,109,1007747
463,My Fair Lady,1964,170,72684726
464,Shrek,2001,90,488629509
465,Avatar,2009,162,2923706026
